Date,MarketID,CommodityID,Price,PricePerKg,PricePerLitre,UsdPrice,Unit,PriceType
2007-06-15,186,148,867.52,17.3504,,13.08,50 KG,Wholesale
2007-06-15,186,50,35.1,35.1,,0.53,KG,Wholesale
2007-06-15,186,262,3200.0,35.55555555555556,,48.27,90 KG,Wholesale
2007-06-15,188,67,30.0,30.0,,0.45,KG,Retail
2007-06-15,185,51,13.15,13.15,,0.2,KG,Wholesale
2007-06-15,185,67,1204.71,13.385666666666667,,18.17,90 KG,Wholesale
2007-06-15,185,148,666.66,13.3332,,10.06,50 KG,Wholesale
2007-06-15,185,50,47.28,47.28,,0.71,KG,Wholesale
2007-07-15,191,51,13.2,13.2,,0.2,KG,Wholesale
2007-07-15,191,67,1183.91,13.154555555555557,,17.74,90 KG,Wholesale
2007-07-15,191,50,36.46,36.46,,0.55,KG,Wholesale
2007-07-15,187,67,9.0,9.0,,0.13,KG,Retail
2007-07-15,187,148,1152.77,23.0554,,17.27,50 KG,Wholesale
2007-07-15,187,262,35.0,35.0,,0.52,KG,Retail
2007-07-15,190,67,15.0,15.0,,0.22,KG,Retail
2007-07-15,184,51,13.4,13.4,,0.2,KG,Wholesale
2007-07-15,184,67,1215.91,13.510111111111112,,18.22,90 KG,Wholesale
2007-07-15,184,148,557.22,11.144400000000001,,8.35,50 KG,Wholesale
2007-07-15,184,65,1665.22,18.502444444444446,,24.95,90 KG,Wholesale
2007-07-15,184,96,140.0,,140.0,2.1,L,Retail
2007-07-15,184,50,35.38,35.38,,0.53,KG,Wholesale
